f,Re,Im,Z,phi,Fit,f,Re,Im,Z,phi
2.06E+00,3.65E+02,-3.63E+01,366.596490533528,-5.68126858828433,,2.06E+00,3.69E+02,-2.46E+01,369.486524140099,-3.8205295866892
1.71E+00,3.65E+02,-3.30E+01,366.555075654169,-5.16109730910805,,1.71E+00,3.69E+02,-2.03E+01,369.893403052567,-3.14867797705725
1.42E+00,3.72E+02,-3.03E+01,373.091621292992,-4.66393169145569,,1.42E+00,3.70E+02,-1.67E+01,370.173885784218,-2.5839762617761
1.18E+00,3.75E+02,-2.58E+01,375.697927667269,-3.93760417769923,,1.18E+00,3.70E+02,-1.36E+01,370.3665132253,-2.10789331126926
9.77E-01,3.77E+02,-2.65E+01,377.5734826883,-4.02436364596023,,9.77E-01,3.70E+02,-1.10E+01,370.497836926268,-1.70399007085732
8.11E-01,3.78E+02,-2.70E+01,378.524826730749,-4.08631876705601,,8.11E-01,3.70E+02,-8.79E+00,370.585817107278,-1.35950733729378
6.73E-01,3.78E+02,-2.18E+01,378.381087663872,-3.30951561804639,,6.73E-01,3.71E+02,-6.87E+00,370.643113309925,-1.06154947001995
5.59E-01,3.80E+02,-2.31E+01,380.395803691084,-3.48712480132711,,5.59E-01,3.71E+02,-5.18E+00,370.677365548797,-0.800370409851595
4.64E-01,3.84E+02,-1.69E+01,384.646264370756,-2.51335287054114,,4.64E-01,3.71E+02,-3.67E+00,370.693570111816,-0.567297728341847
3.85E-01,3.82E+02,-1.67E+01,382.1599860081,-2.50473258920579,,3.85E-01,3.71E+02,-2.29E+00,370.693848519531,-0.353329541128718
3.20E-01,3.93E+02,-1.14E+01,392.700388091742,-1.66207683840041,,3.20E-01,3.71E+02,-9.86E-01,370.678311072039,-0.152388717807517
2.66E-01,3.89E+02,-1.73E+01,389.628286780566,-2.54020931525096,,2.66E-01,3.71E+02,2.81E-01,370.644806476213,0.0434295517565696
2.21E-01,4.02E+02,-1.92E+01,402.025619414884,-2.73187972223351,,2.21E-01,3.71E+02,1.56E+00,370.588666416924,0.240562571755135
1.83E-01,4.01E+02,-1.46E+01,401.59576823055,-2.08012637103878,,1.83E-01,3.70E+02,2.88E+00,370.502104629936,0.445597258868148
1.52E-01,4.02E+02,-1.36E+01,402.021890610225,-1.93399735959867,,1.52E-01,3.70E+02,4.30E+00,370.373475195667,0.665387976574832
1.26E-01,4.03E+02,-1.93E+01,403.101891551586,-2.74913672479934,,1.26E-01,3.70E+02,5.86E+00,370.184799567531,0.90717319411042
1.05E-01,3.93E+02,-5.00E+00,393.309279656505,-0.728013166579358,,1.05E-01,3.70E+02,7.60E+00,369.911371585224,1.17793483088472
8.70E-02,3.97E+02,-1.16E+01,396.885937459503,-1.67470946785826,,8.70E-02,3.69E+02,9.58E+00,369.516657863151,1.48591886915594
7.22E-02,3.93E+02,-1.10E+01,392.769141296211,-1.60109715691471,,7.22E-02,3.69E+02,1.18E+01,368.950916198132,1.83845640259706
5.99E-02,3.93E+02,-7.03E+00,393.358261010143,-1.02440759759496,,5.99E-02,3.68E+02,1.44E+01,368.142803973325,2.24396506334946
4.98E-02,3.93E+02,-1.06E+01,393.453316043825,-1.54147730213121,,4.98E-02,3.67E+02,1.73E+01,367.001053232931,2.70740321704928
4.13E-02,3.91E+02,-1.26E+01,391.636021973756,-1.84209502446879,,4.13E-02,3.65E+02,2.06E+01,365.398043798425,3.23409718470704
3.43E-02,3.90E+02,-2.76E+00,389.521176303561,-0.406057258088329,,3.43E-02,3.62E+02,2.42E+01,363.196569385003,3.81774349179423
2.85E-02,3.85E+02,-6.55E+00,385.208080101327,-0.973902843667481,,2.85E-02,3.59E+02,2.79E+01,360.220200550421,4.44936590880045
2.36E-02,3.69E+02,-3.75E+00,368.988791845917,-0.581920241509656,,2.36E-02,3.55E+02,3.17E+01,356.328089786214,5.10038448633133
1.96E-02,3.70E+02,-2.79E+00,370.247582474405,-0.431676703048001,,1.96E-02,3.50E+02,3.51E+01,351.400229211027,5.7320186238664
1.63E-02,3.59E+02,-3.09E+00,358.983342106565,-0.493948695901377,,1.63E-02,3.43E+02,3.78E+01,345.439491065608,6.28709388466128
1.35E-02,3.49E+02,-9.21E-01,348.616282460371,-0.151441606566529,,1.35E-02,3.36E+02,3.95E+01,338.62453711482,6.69979025898715
1.12E-02,3.21E+02,2.32E+00,320.732248370805,0.415070934361758,,1.12E-02,3.29E+02,3.99E+01,331.299931687588,6.91257543583647
9.33E-03,2.94E+02,5.13E+00,293.955988470874,1.00000084490492,,9.33E-03,3.22E+02,3.89E+01,323.955263540753,6.89273876539637
7.74E-03,2.88E+02,6.54E+00,288.341576703716,1.30000109800851,,7.74E-03,3.15E+02,3.67E+01,317.035811318253,6.64395020824358
6.43E-03,2.71E+02,6.80E+00,270.966358908114,1.43856358779365,,6.43E-03,3.09E+02,3.36E+01,310.936645877115,6.20557559105307
5.33E-03,2.57E+02,6.29E+00,257.478232043402,1.40000118266072,,5.33E-03,3.04E+02,3.00E+01,305.849603939503,5.63828078547434
4.43E-03,2.61E+02,6.84E+00,261.148981743685,1.50000126685242,,4.43E-03,3.01E+02,2.63E+01,301.806031338673,5.00733565376672
3.68E-03,2.41E+02,6.73E+00,240.917000084877,1.6000013516451,,3.68E-03,2.98E+02,2.28E+01,298.717700109787,4.36915704360995
3.05E-03,2.58E+02,8.57E+00,258.560804148124,1.90000160430578,,3.05E-03,2.96E+02,1.94E+01,296.400918617301,3.75502874496591
